,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
10,"{708, 102}","{706, 102}","{702, 103}","{104, 700}","{104, 700}","{104, 695}","{649, 105}","{105, 628}","{616, 106}","{106, 603}","{576, 107}","{108, 535}","{497, 109}","{437, 111}","{115, 390}","{117, 343}","{312, 119}","{121, 286}","{123, 252}","{227, 127}","{133, 198}","{181, 135}","{137, 166}","{155, 139}","{149, 141}","{141, 142}","{137, 141}","{136, 141}","{137, 141}","{137, 140}","{138, 139}","{140, 135}","{136, 139}","{137, 135}","{136, 135}","{136, 132}","{129, 137}","{128, 137}","{128, 136}","{128, 136}","{128, 137}","{129, 137}","{130, 138}","{129, 139}","{131, 139}","{140, 133}","{140, 133}","{140, 133}","{140, 133}","{132, 141}","{133, 141}","{142, 135}","{141, 142}","{145, 141}","{137, 162}","{192, 132}","{226, 127}","{261, 126}","{124, 309}","{357, 126}","{123, 397}","{448, 120}","{497, 117}","{538, 116}","{578, 114}","{600, 113}","{112, 619}","{619, 111}","{635, 111}","{667, 109}","{696, 108}","{107, 693}","{690, 107}","{106, 699}","{682, 106}","{674, 106}","{105, 677}","{105, 679}","{105, 671}","{105, 670}"
11,"{69, 671}","{673, 68}","{672, 68}","{674, 68}","{675, 68}","{674, 68}","{674, 68}","{676, 68}","{68, 677}","{681, 68}","{681, 68}","{68, 678}","{680, 68}","{68, 679}","{68, 679}","{682, 67}","{67, 684}","{67, 684}","{67, 686}","{67, 683}","{68, 687}","{690, 67}","{67, 692}","{67, 695}","{67, 700}","{67, 703}","{67, 702}","{67, 702}","{67, 703}","{66, 703}","{66, 701}","{705, 66}","{66, 711}","{66, 711}","{66, 711}","{66, 710}","{66, 710}","{66, 708}","{65, 707}","{65, 707}","{65, 703}","{65, 703}","{66, 701}","{66, 700}","{697, 66}","{697, 66}","{697, 66}","{66, 700}","{704, 67}","{704, 67}","{67, 703}","{67, 701}","{67, 703}","{67, 710}","{67, 711}","{67, 707}","{68, 702}","{699, 68}","{698, 68}","{69, 694}","{69, 693}","{688, 70}","{683, 70}","{674, 70}","{676, 70}","{676, 70}","{682, 70}","{683, 70}","{684, 70}","{683, 70}","{683, 70}","{684, 70}","{684, 70}","{684, 70}","{674, 69}","{69, 670}","{69, 669}","{69, 669}","{668, 69}","{69, 671}"
12,{0},{0},{0},{0},{0},{0},{0},"{682, 70}",{0},{0},"{683, 70}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{691, 68}","{67, 679}",{0},"{69, 671}",{0},{0},{0},"{70, 654}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
13,{0},{0},{0},{0},{0},{0},{0},"{708, 70}",{0},{0},"{706, 70}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{68, 702}","{689, 68}",{0},"{688, 69}",{0},{0},{0},"{677, 71}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
14,{0},{0},{0},{0},{0},{0},{0},"{70, 702}",{0},{0},"{70, 702}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{721, 69}","{69, 709}",{0},"{707, 70}",{0},{0},{0},"{696, 71}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
15,{0},{0},{0},{0},{0},{0},{0},"{70, 695}",{0},{0},"{697, 70}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{744, 70}","{732, 70}",{0},"{71, 727}",{0},{0},{0},"{72, 714}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
16,{0},{0},{0},{0},{0},{0},{0},"{685, 71}",{0},{0},"{690, 71}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{768, 71}","{756, 71}",{0},"{72, 746}",{0},{0},{0},"{73, 731}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
17,{0},{0},{0},{0},{0},{0},{0},"{700, 71}",{0},{0},"{701, 70}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{67, 677}","{658, 66}",{0},"{656, 68}",{0},{0},{0},"{643, 70}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
18,{0},{0},{0},{0},{0},{0},{0},"{736, 71}",{0},{0},"{737, 71}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{683, 68}","{68, 662}",{0},"{675, 69}",{0},{0},{0},"{661, 71}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
19,{0},{0},{0},{0},{0},{0},{0},"{732, 71}",{0},{0},"{734, 71}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{709, 70}","{690, 69}",{0},"{70, 702}",{0},{0},{0},"{72, 686}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
20,{0},{0},{0},{0},{0},{0},{0},"{720, 71}",{0},{0},"{726, 71}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{737, 71}","{722, 71}",{0},"{726, 71}",{0},{0},{0},"{73, 713}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
21,{0},{0},{0},{0},{0},{0},{0},"{704, 72}",{0},{0},"{710, 71}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{72, 762}","{72, 749}",{0},"{72, 747}",{0},{0},{0},"{74, 733}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
22,{0},{0},{0},{0},{0},{0},{0},"{717, 71}",{0},{0},"{717, 71}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{666, 66}","{66, 644}",{0},"{649, 68}",{0},{0},{0},"{637, 70}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
23,{0},{0},{0},{0},{0},{0},{0},"{72, 754}",{0},{0},"{72, 764}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{68, 694}","{666, 68}",{0},"{69, 685}",{0},{0},{0},"{669, 71}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
24,{0},{0},{0},{0},{0},{0},{0},"{73, 746}",{0},{0},"{72, 759}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{715, 70}","{693, 70}",{0},"{707, 71}",{0},{0},{0},"{73, 690}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
25,{0},{0},{0},{0},{0},{0},{0},"{72, 726}",{0},{0},"{72, 746}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{737, 71}","{721, 71}",{0},"{72, 729}",{0},{0},{0},"{74, 715}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
26,{0},{0},{0},{0},{0},{0},{0},"{72, 714}",{0},{0},"{72, 730}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},"{72, 771}","{73, 757}",{0},"{73, 758}",{0},{0},{0},"{74, 743}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
27,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{868, 165}","{867, 165}","{866, 165}","{864, 165}","{861, 165}","{164, 861}","{165, 855}","{164, 855}","{164, 855}","{164, 852}","{851, 164}","{850, 164}","{163, 845}","{843, 163}","{843, 163}","{162, 844}","{162, 842}","{841, 162}","{841, 162}","{162, 842}","{841, 162}","{841, 162}","{162, 842}","{162, 842}","{162, 843}","{162, 843}","{162, 843}","{162, 844}","{162, 843}","{162, 843}","{162, 843}","{162, 845}","{848, 162}","{162, 853}","{162, 854}","{857, 162}","{162, 860}","{162, 861}","{162, 863}","{162, 863}","{162, 862}","{864, 162}","{163, 863}","{163, 862}","{163, 862}","{865, 163}","{163, 869}","{872, 163}","{164, 876}","{164, 879}",{0},"{167, 879}","{889, 166}","{890, 166}","{891, 166}","{890, 166}","{890, 166}","{891, 166}","{168, 884}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
28,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{857, 167}","{857, 167}","{856, 167}","{167, 855}","{166, 855}","{850, 166}","{166, 847}","{844, 166}","{845, 166}","{841, 165}","{166, 839}","{166, 838}","{832, 165}","{165, 831}","{165, 830}","{165, 831}","{164, 829}","{164, 828}","{828, 165}","{164, 829}","{828, 165}","{828, 165}","{164, 829}","{164, 830}","{164, 830}","{164, 830}","{164, 830}","{164, 830}","{164, 830}","{164, 830}","{164, 830}","{832, 164}","{834, 164}","{164, 839}","{841, 164}","{164, 844}","{164, 847}","{848, 164}","{849, 164}","{849, 164}","{848, 165}","{850, 165}","{849, 165}","{850, 165}","{164, 852}","{164, 854}","{859, 164}","{164, 863}","{164, 870}","{166, 870}",{0},"{877, 167}","{880, 167}","{168, 881}","{168, 883}","{168, 881}","{168, 881}","{166, 887}","{885, 166}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
29,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{168, 850}","{168, 849}","{848, 168}","{168, 847}","{166, 847}","{168, 841}","{838, 167}","{835, 167}","{837, 167}","{832, 167}","{830, 167}","{830, 167}","{167, 823}","{166, 822}","{821, 166}","{166, 822}","{820, 166}","{819, 166}","{818, 166}","{819, 166}","{818, 166}","{818, 166}","{820, 166}","{820, 166}","{820, 166}","{821, 166}","{821, 165}","{821, 165}","{821, 165}","{821, 165}","{821, 165}","{165, 823}","{825, 165}","{165, 830}","{832, 165}","{835, 166}","{166, 838}","{166, 839}","{840, 166}","{840, 166}","{166, 839}","{841, 166}","{841, 166}","{843, 166}","{844, 165}","{165, 846}","{851, 165}","{165, 854}","{861, 165}","{861, 167}",{0},"{873, 167}","{169, 871}","{872, 169}","{169, 874}","{873, 169}","{873, 169}","{168, 878}","{167, 879}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
30,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{169, 844}","{169, 843}","{168, 843}","{168, 841}","{841, 167}","{169, 834}","{168, 830}","{168, 828}","{168, 830}","{824, 168}","{168, 823}","{168, 822}","{816, 168}","{814, 167}","{814, 167}","{814, 167}","{812, 167}","{811, 167}","{811, 167}","{812, 167}","{811, 167}","{811, 167}","{812, 167}","{813, 167}","{813, 166}","{813, 166}","{166, 814}","{166, 814}","{813, 166}","{166, 814}","{166, 814}","{816, 166}","{818, 166}","{166, 823}","{825, 166}","{828, 166}","{166, 831}","{832, 166}","{833, 166}","{833, 166}","{833, 166}","{835, 166}","{834, 167}","{835, 167}","{836, 166}","{837, 166}","{842, 166}","{846, 167}","{853, 166}","{168, 853}",{0},"{867, 167}","{864, 170}","{865, 170}","{170, 867}","{170, 866}","{170, 866}","{169, 869}","{168, 873}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
31,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{840, 169}","{169, 839}","{169, 838}","{169, 836}","{168, 835}","{169, 828}","{170, 823}","{169, 823}","{824, 168}","{168, 818}","{817, 169}","{816, 169}","{168, 810}","{808, 168}","{808, 168}","{808, 168}","{806, 167}","{168, 805}","{168, 804}","{168, 805}","{168, 804}","{168, 804}","{806, 167}","{167, 807}","{167, 807}","{167, 807}","{808, 167}","{808, 167}","{167, 807}","{808, 167}","{808, 167}","{810, 167}","{812, 167}","{817, 167}","{819, 167}","{167, 823}","{825, 167}","{827, 167}","{828, 167}","{828, 167}","{828, 167}","{829, 167}","{829, 167}","{828, 167}","{168, 828}","{830, 167}","{834, 167}","{168, 838}","{846, 167}","{169, 846}",{0},"{862, 167}","{858, 171}","{171, 860}","{171, 861}","{171, 860}","{171, 860}","{170, 862}","{168, 866}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
